ref1	ref2	conca	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low
GPD1_a_0_1_2	GPD1_a_1_1_2	GPD1_a_0_1_2 GPD1_a_1_1_2	12	705000	10.97	675100	794500	-0.112630587005275
GPD1_a_0_1_2	GPD1_a_1_1_2	GPD1_a_0_1_2 GPD1_a_1_1_2	15	644200	3.14	541200	704600	-0.0738052163674397
GPD1_a_0_1_2	GPD1_a_1_2_2	GPD1_a_0_1_2 GPD1_a_1_2_2	2	628900	6.88	529000	665100	0.100276236070592
GPD1_a_0_1_2	GPD1_a_1_2_2	GPD1_a_0_1_2 GPD1_a_1_2_2	4	64600	3	0	128100	0.076782801968672
GPD1_a_0_1_2	GPD1_a_1_2_2	GPD1_a_0_1_2 GPD1_a_1_2_2	8	131000	4.26	55500	200500	0.0857306082820027
GPD1_a_0_1_2	GPD1_a_1_2_2	GPD1_a_0_1_2 GPD1_a_1_2_2	11	388400	2.88	128400	546900	0.0633579217974903
GPD1_a_0_1_2	GPD1_a_1_2_2	GPD1_a_0_1_2 GPD1_a_1_2_2	12	703800	11.8	657700	767600	-0.106478275723699
GPD1_a_0_1_2	GPD1_a_1_2_2	GPD1_a_0_1_2 GPD1_a_1_2_2	13	880700	3.52	781700	922700	0.0752744660535782
GPD1_a_0_1_2	GPD1_a_1_2_2	GPD1_a_0_1_2 GPD1_a_1_2_2	15	657400	3.31	569900	716300	-0.0767546009023805
GPD1_a_0_1_2	GPD1_a_2_1_2	GPD1_a_0_1_2 GPD1_a_2_1_2	2	570300	6.67	502800	634900	0.102503963506263
GPD1_a_0_1_2	GPD1_a_2_1_2	GPD1_a_0_1_2 GPD1_a_2_1_2	5	118000	2.98	63400	198800	0.0908313489792611
GPD1_a_0_1_2	GPD1_a_2_1_2	GPD1_a_0_1_2 GPD1_a_2_1_2	10	387600	5.17	302800	451500	0.0961793233810817
GPD1_a_0_1_2	GPD1_a_2_1_2	GPD1_a_0_1_2 GPD1_a_2_1_2	11	388300	3.13	207000	460400	0.0707566803867744
GPD1_a_0_1_2	GPD1_a_2_1_2	GPD1_a_0_1_2 GPD1_a_2_1_2	12	750800	10.15	723700	784500	-0.125950586262889
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	2	186300	4.41	137000	225500	0.0734186187427518
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	2	568400	4.21	510000	658100	0.084166018346555
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	4	63300	5.35	0	95900	0.101650557297673
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	7	88700	2.9	0	189700	-0.0557820696402831
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	8	145600	4.05	113000	228600	0.0949485571541972
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	11	218400	2.85	33600	484700	0.0357750472608119
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	12	776300	4.78	723900	858700	-0.098328585877958
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	13	508300	4.19	424600	561500	0.0682108367158665
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	13	667600	4.26	601200	755700	0.07233858588498
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	14	577900	2.95	407700	669200	-0.0722849298923995
GPD1_a_0_1_2	GPD1_a_4_1_2	GPD1_a_0_1_2 GPD1_a_4_1_2	2	567800	5.63	485300	656400	0.0999649827645118
GPD1_a_0_1_2	GPD1_a_4_1_2	GPD1_a_0_1_2 GPD1_a_4_1_2	4	64400	5.32	0	100100	0.0953852819382713
GPD1_a_0_1_2	GPD1_a_4_1_2	GPD1_a_0_1_2 GPD1_a_4_1_2	8	134300	4.25	66100	264600	0.0745611081684298
GPD1_a_0_1_2	GPD1_a_4_1_2	GPD1_a_0_1_2 GPD1_a_4_1_2	12	754100	7.77	667500	806100	-0.100568169281904
GPD1_a_0_1_2	GPD1_a_4_1_2	GPD1_a_0_1_2 GPD1_a_4_1_2	13	885200	6.04	854400	922700	0.099824952684102
GPD1_a_0_1_3	GPD1_a_1_1_3	GPD1_a_0_1_3 GPD1_a_1_1_3	5	284500	2.85	94100	345700	0.0497850468146227
GPD1_a_0_1_3	GPD1_a_1_1_3	GPD1_a_0_1_3 GPD1_a_1_1_3	5	539600	3.6	472200	566500	0.0878383403680134
GPD1_a_0_1_3	GPD1_a_1_1_3	GPD1_a_0_1_3 GPD1_a_1_1_3	10	149300	4.56	88400	176300	-0.0968374458771263
GPD1_a_0_1_3	GPD1_a_1_1_3	GPD1_a_0_1_3 GPD1_a_1_1_3	10	634200	5.23	570400	741700	-0.0897479471277235
GPD1_a_0_1_3	GPD1_a_1_1_3	GPD1_a_0_1_3 GPD1_a_1_1_3	12	781100	4.03	665300	827300	-0.0905817824668664
GPD1_a_0_1_3	GPD1_a_1_1_3	GPD1_a_0_1_3 GPD1_a_1_1_3	15	479800	3.55	374300	638100	0.0497893164139417
GPD1_a_0_1_3	GPD1_a_1_2_3	GPD1_a_0_1_3 GPD1_a_1_2_3	5	539100	3.43	401300	566500	0.0825707684129492
GPD1_a_0_1_3	GPD1_a_1_2_3	GPD1_a_0_1_3 GPD1_a_1_2_3	10	377400	4.1	176900	469600	-0.0843537925142103
GPD1_a_0_1_3	GPD1_a_1_2_3	GPD1_a_0_1_3 GPD1_a_1_2_3	12	769500	8.94	733100	792000	-0.14559718912321
GPD1_a_0_1_3	GPD1_a_1_2_3	GPD1_a_0_1_3 GPD1_a_1_2_3	15	554700	3.34	441800	710900	0.0704746383967371
GPD1_a_0_1_3	GPD1_a_2_1_3	GPD1_a_0_1_3 GPD1_a_2_1_3	12	739100	6.84	661300	790100	-0.115670451246746
GPD1_a_0_1_3	GPD1_a_2_1_3	GPD1_a_0_1_3 GPD1_a_2_1_3	15	537200	4.63	476000	680600	0.0890122764316698
GPD1_a_0_1_3	GPD1_a_2_1_3	GPD1_a_0_1_3 GPD1_a_2_1_3	16	617500	3.07	533500	736500	0.0645106264280541
GPD1_a_0_1_3	GPD1_a_3_1_3	GPD1_a_0_1_3 GPD1_a_3_1_3	8	82200	4.06	36800	234900	0.0738934049947329
GPD1_a_0_1_3	GPD1_a_3_1_3	GPD1_a_0_1_3 GPD1_a_3_1_3	10	146400	4.32	57900	194300	-0.0793945206563661
GPD1_a_0_1_3	GPD1_a_3_1_3	GPD1_a_0_1_3 GPD1_a_3_1_3	10	630600	5.12	525400	700500	-0.103700960109317
GPD1_a_0_1_3	GPD1_a_3_1_3	GPD1_a_0_1_3 GPD1_a_3_1_3	15	80200	5.61	23800	152000	0.0982479662379688
GPD1_a_0_1_3	GPD1_a_4_1_3	GPD1_a_0_1_3 GPD1_a_4_1_3	2	249400	3.11	119500	310400	0.0637564267000776
GPD1_a_0_1_3	GPD1_a_4_1_3	GPD1_a_0_1_3 GPD1_a_4_1_3	12	737200	6.99	617700	799800	-0.103599008697165
GPD1_a_0_1_3	GPD1_a_4_1_3	GPD1_a_0_1_3 GPD1_a_4_1_3	15	552300	3.96	460600	673600	0.0841046671464984
GPD1_a_0_1_4	GPD1_a_1_1_4	GPD1_a_0_1_4 GPD1_a_1_1_4	5	530800	21.03	509200	556200	0.189772675002917
GPD1_a_0_1_4	GPD1_a_1_1_4	GPD1_a_0_1_4 GPD1_a_1_1_4	7	204500	7.09	65800	228100	-0.0832913369817556
GPD1_a_0_1_4	GPD1_a_1_1_4	GPD1_a_0_1_4 GPD1_a_1_1_4	8	336400	3.1	139300	470300	0.0470878546746799
GPD1_a_0_1_4	GPD1_a_1_1_4	GPD1_a_0_1_4 GPD1_a_1_1_4	10	204800	3.94	78600	341800	0.0735600943297947
GPD1_a_0_1_4	GPD1_a_1_1_4	GPD1_a_0_1_4 GPD1_a_1_1_4	12	762700	5.96	635900	876600	-0.0937896757464052
GPD1_a_0_1_4	GPD1_a_1_1_4	GPD1_a_0_1_4 GPD1_a_1_1_4	13	101300	5.57	0	181700	-0.0929731738741455
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	4	88500	4.01	0	117900	0.0848189898485686
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	4	761200	2.96	557300	811800	0.0335979212936415
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	5	162200	2.84	82400	296700	0.0733833236074369
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	5	518500	16.61	503000	553500	0.161111177643159
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	7	128100	5.63	71000	237100	-0.105549813647895
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	8	336900	3.61	137700	410100	0.0655516903929392
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	10	200800	5.36	128600	311300	0.083263121971376
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	11	261100	4.12	173400	343000	0.0844949519155446
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	12	746200	8.01	703300	795100	-0.112860119492298
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	13	32700	4.3	0	172800	-0.0707917899450493
GPD1_a_0_1_4	GPD1_a_2_1_4	GPD1_a_0_1_4 GPD1_a_2_1_4	5	529200	14.21	506600	558200	0.154497438071595
GPD1_a_0_1_4	GPD1_a_2_1_4	GPD1_a_0_1_4 GPD1_a_2_1_4	7	114800	2.86	0	427000	-0.0703199901917903
GPD1_a_0_1_4	GPD1_a_2_1_4	GPD1_a_0_1_4 GPD1_a_2_1_4	8	224500	4.48	130200	369800	0.0664846275345147
GPD1_a_0_1_4	GPD1_a_2_1_4	GPD1_a_0_1_4 GPD1_a_2_1_4	10	272700	8.33	195800	351100	0.0852701423257778
GPD1_a_0_1_4	GPD1_a_2_1_4	GPD1_a_0_1_4 GPD1_a_2_1_4	11	265800	3.64	220700	327700	0.0746254703271427
GPD1_a_0_1_4	GPD1_a_2_1_4	GPD1_a_0_1_4 GPD1_a_2_1_4	12	752500	5.66	610200	821900	-0.0807405347079795
GPD1_a_0_1_4	GPD1_a_2_1_4	GPD1_a_0_1_4 GPD1_a_2_1_4	13	55500	4.43	0	146300	-0.0758699686140993
GPD1_a_0_1_4	GPD1_a_2_1_4	GPD1_a_0_1_4 GPD1_a_2_1_4	13	574600	2.95	415700	651400	0.0603635417114263
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	4	56900	4.25	0	112700	0.0830257734034793
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	5	518000	21.47	501000	562300	0.190661434724464
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	7	143600	5.39	70500	224200	-0.103376624639434
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	8	166500	2.87	112500	554900	0.071079531602797
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	10	177300	5.38	116400	276600	0.0943312768259544
