target_id	length	eff_length	est_counts	tpm
YMR076C	3834	3635	4006	20.4191
YOR251C	915	716	2885	74.6557
YAR070C	300	101.044	1	0.183367
YBR124W	360	161	1	0.115081
YJR135W-A	264	66.2053	582	162.877
YOR186W	435	236	8	0.62807
YDR083W	1179	980	6232	117.823
YOR011W-A	207	27.3759	0	0
YOR267C	2280	2081	4297.14	38.2593
YLR109W	531	332	38839	2167.5
YOR032C	1305	1106	20	0.335046
YOR091W	1038	839	4706	103.925
YKR059W	1188	989	65727.3	1231.34
YBR205W	1215	1016	5882.49	107.275
YLR316C	969	770	1333	32.0752
YDR406W-A	246	50.8321	0	0
YLR292C	582	383	2965	143.435
YCR044C	1074	875	2284	48.3635
YLR216C	1116	917	12369	249.917
YDR046C	1815	1616	10395	119.183
YGR069W	336	137	8	1.08193
YJL092W	3525	3326	2967	16.5282
YDR096W	2685	2486	1196	8.91374
YML018C	1182	983	4945	93.2058
YLR445W	567	368	4	0.201392
YOR138C	2016	1817	2932	29.8978
YOR369C	432	233	71619	5695.11
YGR246C	1791	1592	3409	39.6747
YJR145C	786	587	76200.5	2405.19
YJR138W	4755	4556	2851	11.5943
YHR059W	393	194	592	56.5392
YLR138W	2958	2759	8158	54.785
YHL009W-B	5409	5210	1760.08	6.25928
YDR098C-B	5268	5069	20742.8	75.8183
YNL156C	900	701	2451	64.7821
YNL106C	3552	3353	1277	7.05647
YNL286W	858	659	1270	35.7066
YNL093W	663	464	32	1.2778
YIL040W	417	218	1487	126.382
YKL104C	2154	1955	11378	107.832
YLR186W	759	560	5455	180.483
YDR425W	1878	1679	1176	12.9774
YGL134W	1302	1103	1335	22.4252
YJR094W-A	279	80.3587	8414.75	1940.16
YDR293C	3753	3554	6982	36.3992
YBL113W-A	483	284	3.11428	0.203175
YNR015W	1155	956	2074	40.1958
YKL006W	417	218	36113.3	3069.31
YLR456W	615	416	355	15.8112
YDR448W	1305	1106	1646	27.5743
YIL166C	1629	1430	238	3.08369
YDR097C	3729	3530	3932	20.6381
YER184C	2385	2186	653	5.53469
YJL047C-A	135	11.2077	0	0
YJL066C	759	560	874	28.917
YKL095W	837	638	628	18.2377
YLR368W	1797	1598	1933	22.4122
YOR194C	861	662	4424	123.819
YGR060W	930	731	16114	408.428
YHR041C	633	434	1172	50.0343
YBR115C	4179	3980	13706	63.8054
YCR097W	381	182	1300	132.343
YBR147W	891	692	255	6.82754
YFL003C	2637	2438	259	1.96832
YHR086W	1572	1373	1473	19.8775
YOL120C	561	362	55323.1	2831.57
YML079W	606	407	2388	108.71
YOR125C	702	503	975	35.9142
YLR065C	546	347	2886	154.098
YNL298W	2529	2330	2747	21.844
YPL134C	933	734	811	20.4717
YER078C	1536	1337	2215	30.6953
YGL225W	1014	815	10178	231.385
YLR129W	2832	2633	10985	77.2999
YNL224C	2304	2105	2482	21.8464
YNL122C	348	149	483	60.0607
YGL066W	1974	1775	2810	29.3317
YCL067C	633	434	930	39.703
YNL217W	981	782	2761	65.4169
YGL063W	1113	914	618	12.5277
YML030W	480	281	1233	81.2993
YPL152W-A	99	8.31548	0	0
YAL039C	810	611	1371	41.5744
YOR261C	1017	818	9269	209.947
YLR191W	1161	962	1483	28.5625
YMR316W	1011	812	1109	25.305
YCR027C	630	431	764	32.8432
YDL046W	522	323	3665	210.233
YER125W	2430	2231	3061	25.4211
YMR263W	606	407	1396	63.5508
YOL113W	1968	1769	1732	18.1405
YAL001C	3483	3284	3710	20.9315
YDR517W	1119	920	2865	57.6988
YBR197C	654	455	832	33.8799
YDR192C	1293	1094	1599	27.0808
YJR132W	3147	2948	4504	28.3075
YER021W	1572	1373	13399	180.814
YGL034C	366	167	2	0.221893
YKL014C	5295	5096	9350	33.9948
YDL106C	1680	1481	1667	20.855
YGR197C	1644	1445	874	11.2066
YDR365C	1887	1688	14959	164.195
YNL280C	1317	1118	5651	93.6512
YCR030C	2613	2414	3257	24.9983
YDL154W	2706	2507	646	4.77428
YDR505C	2526	2327	3152	25.0969
YGL033W	657	458	46	1.8609
YMR211W	1428	1229	1465	22.0859
YBR221W-A	105	8.69459	0	0
YBL036C	774	575	4221	136.012
YGL202W	1503	1304	17949	255.031
YIL176C	363	164	2.84425	0.321332
YOL147C	711	512	790	28.5882
YPR178W	1398	1199	1290	19.9343
YFR007W	1062	863	774	16.6173
YEL008W	381	182	3	0.305408
YGR072W	1164	965	2388	45.8498
YER022W	2064	1865	2967	29.476
YNL069C	597	398	63240	2944.01
YIL118W	696	497	4106	153.071
YJR008W	1017	818	848	19.2076
YKL217W	1851	1652	98	1.09912
YAR060C	336	137	23	3.11054
YCL010C	780	581	1468	46.8144
YNL303W	348	149	1	0.124349
YPL036W	2844	2645	697.452	4.88561
YJR024C	735	536	3103	107.262
YBR042C	1194	995	3059	56.9622
YAL047C	1869	1670	1253	13.9016
YER056C-A	366	167	22667.6	2514.89
YFR011C	513	314	1333	78.6558
YDR256C	1548	1349	230	3.15897
YFL065C	309	110.015	13.6464	2.29824
YNL287W	2808	2609	16027	113.817
YAL065C	387	188	4.17518	0.411479
YGR103W	1818	1619	22370	256.005
YLR061W	366	167	25437	2822.15
YLR171W	390	191	2	0.194011
YGR161W-A	1317	1118	0	0
YOR281C	861	662	4274	119.621
YBR162C	1368	1169	29322	464.739
YJL078C	2646	2447	3797	28.7499
YMR114C	1107	908	737	15.0387
YJL152W	360	161	3	0.345243
YGR251W	591	392	1412	66.7388
YJL067W	351	152	1	0.121895
YBR094W	2262	2063	3081	27.6708
YDR118W-A	117	9.56096	0	0
YGR065C	1782	1583	2913	34.0949
YGR031C-A	492	293	2	0.126471
YEL017C-A	132	10.8985	0	0
YGL251C	3564	3365	974	5.36295
YOR260W	1737	1538	8906	107.289
YKL021C	1407	1208	6987	107.165
YKR028W	3102	2903	7175	45.7936
YOR374W	1560	1361	3158	42.9916
YHL026C	948	749	676	16.7223
YNR062C	984	785	26	0.613668
YHR014W	876	677	26	0.711565
YCR028C	1539	1340	2267	31.3456
YDL015C	933	734	10437	263.457
YJL102W	2460	2261	1195	9.79258
YCR016W	873	674	4578	125.848
YER058W	324	125.002	407	60.3263
YER149C	1263	1064	2144	37.3347
YJL147C	1149	950	733	14.2959
YDL035C	2886	2687	4445	30.6503
YDR533C	714	515	1743	62.7076
YGL222C	528	329	673	37.9009
YDL090C	1296	1097	1897	32.0399
YBR177C	1356	1157	7656	122.602
YJL034W	2049	1850	21698	217.309
YML012C-A	378	179	3	0.310526
YNR059W	1743	1544	1054	12.648
YOR034C-A	243	48.5146	11	4.20097
YGR156W	1278	1079	905	15.5402
YLR066W	555	356	2610	135.838
YBR125C	1182	983	1600	30.1576
YOR376W	369	170	0	0
YBR173C	447	248	2740	204.705
YCL023C	348	149	0	0
YHR057C	618	419	2456	108.604
YAL051W	3144	2945	2173	13.6711
YOL162W	648	449	36	1.48555
YOR077W	699	500	555	20.5661
YLR234W	1971	1772	405	4.23469
YDR198C	1440	1241	1759	26.2618
YJR124C	1347	1148	3121	50.3711
YHR107C	1224	1025	5014	90.6339
YER112W	564	365	3319	168.478
YLL066C	3618	3419	6860.08	37.1758
YCL026C-A	582	383	35	1.69316
YLR174W	1239	1040	249	4.43605
YCR018C-A	255	58.2335	899.898	286.319
YGR108W	1416	1217	5217	79.4256
YDR346C	1446	1247	14169	210.525
YDL232W	111	9.10829	0	0
YDR091C	1827	1628	14886	169.416
YER165C-A	357	158	0	0
YKR092C	1221	1022	10833	196.394
YLR269C	351	152	1	0.121895
YEL069C	1695	1496	7.66667	0.0949522
YLR117C	2064	1865	2531	25.1445
YLR385C	399	200	144	13.3402
YBR250W	1572	1373	158	2.13214
YDR143C	1833	1634	2705	30.6722
YER185W	912	713	105	2.72854
YGL007W	378	179	7	0.724561
YAL031C	2283	2084	1687	14.9985
YNR075C-A	93	7.96714	0	0
YOL013C	1656	1457	2144	27.2644
YGR139W	339	140	0	0
YLR089C	1779	1580	5773	67.6978
YKL222C	2118	1919	1164	11.2385
YKL155C	1887	1688	2614	28.6922
YGR154C	1071	872	457	9.71023
YNL277W	1461	1262	436	6.40114
YOL061W	1491	1292	9703	139.147
YDL014W	984	785	20094	474.271
YFR013W	2364	2165	4031	34.4973
YCL064C	1083	884	1256	26.3249
YDR493W	372	173	437	46.8021
YLR345W	1530	1331	1644	22.8851
YGL022W	2157	1958	13711	129.744
YLR192C	798	599	6692	206.995
YOR265W	321	122.003	820	124.53
YCL019W	5313	5114	5658.04	20.4991
YDR031W	366	167	323	35.8357
YOR333C	417	218	2	0.169982
YDL190C	2886	2687	5216	35.9666
YKR083C	402	203	573	52.2984
YBR141C	1014	815	1314	29.8722
YAL008W	597	398	1378	64.1499
YDR453C	591	392	346	16.3539
YDR191W	1113	914	502	10.1762
YDR490C	2301	2102	1548	13.6448
YER107W-A	321	122.003	1	0.151865
YLR459W	1185	986	2764	51.9387
YNL193W	1677	1478	1736	21.7623
YHR099W	11235	11036	7305	12.2642
YLR360W	1320	1121	1280	21.156
YKL070W	510	311	4	0.238303
YPR170W-B	258	60.8345	2591	789.127
YKL145W-A	93	7.96714	0	0
YOR142W	990	791	6672	156.282
YDR304C	678	479	10000	386.807
YLR430W	6696	6497	6230	17.7666
YPL020C	1866	1667	2720	30.2317
YHL023C	3441	3242	3013	17.2193
YLR165C	765	566	571	18.6917
YOR283W	693	494	3238	121.445
YMR052C-A	366	167	13	1.4423
YJR054W	1494	1295	2312	33.0787
YOR053W	342	143	1	0.129567
YER084W-A	513	314	0	0
YHL005C	393	194	4	0.382022
YMR255W	567	368	1453	73.1556
YDR029W	315	116.007	0	0
YDR033W	963	764	67585	1639.03
YPL154C	1218	1019	16731	304.213
YNL043C	321	122.003	10	1.51865
YDR253C	576	377	116	5.70094
YAL032C	1140	941	1260	24.8091
YNL241C	1518	1319	6094	85.6027
YNL014W	3135	2936	531.005	3.35098
YEL011W	2115	1916	400	3.86807
YNL291C	1647	1448	3061	39.1674
YDL140C	5202	5003	11130	41.2187
YLR079W	855	656	2267	64.0291
YMR104C	2034	1835	1283	12.9545
YOR348C	1884	1685	59	0.648757
YOR097C	528	329	733	41.2798
Q0143	153	13.4437	0	0
YOR072W-B	162	14.8683	0	0
YHR103W	2559	2360	6268	49.2093
YOL126C	1134	935	8697	172.341
YOL107W	1029	830	1082	24.1534
YHR026W	642	443	6992	292.434
YGL061C	744	545	1119	38.042
YGR028W	1089	890	1291	26.8761
YMR141W-A	225	36.3941	0	0
YJL089W	2490	2291	83	0.671248
YKL116C	1557	1358	2279	31.0939
YHR134W	810	611	883	26.7762
YOR022C	2148	1949	1212	11.5218
YBR228W	915	716	886	22.9272
YNL320W	855	656	1289	36.4065
YGR123C	1542	1343	5260	72.5671
YBR269C	417	218	983	83.5463
YMR220W	1356	1157	7809	125.052
YLR290C	834	635	1537	44.8467
YMR188C	714	515	1445	51.9865
YNL258C	2265	2066	3977	35.6661
YNL075W	873	674	4851	133.353
YPR159W	2163	1964	10150	95.7535
YMR198W	1785	1586	1275	14.8949
YHR089C	618	419	10142	448.476
YBR194W	372	173	292	31.2728
YBR190W	312	113.011	42	6.88589
YNR018W	675	476	4397	171.151
YAL044C	513	314	7536	444.673
YKL197C	3132	2933	1920	12.1288
YKL139W	1587	1388	2358	31.4763
YGR138C	1845	1646	10308.2	116.033
YHR129C	1155	956	1039	20.1367
YLR436C	3825	3626	4318	22.064
YOR253W	531	332	2656	148.224
YNL268W	1836	1637	11823	133.816
YIL105C	2061	1862	2671	26.5781
YDL029W	1176	977	10409	197.399
YDR403W	1611	1412	129	1.69272
YOR132W	1656	1457	2595	32.9995
YPR160C-A	285	86.2066	5	1.07463
YCL026C-B	582	383	211	10.2074
YPR092W	306	107.022	0	0
YDR525W-A	240	46.2784	167	66.8602
YPL255W	1158	959	1178	22.7592
YEL012W	657	458	773	31.2712
YOR192C	1800	1601	320.488	3.70895
YGL229C	2457	2258	1079	8.85375
YER065C	1674	1475	879	11.0415
YPR194C	2634	2435	194	1.47616
YOL005C	363	164	1651	186.523
YML052W	909	710	6213	162.134
YML064C	738	539	1272	43.7249
YHL019C	1818	1619	1381	15.8044
YBR167C	423	224	630	52.1102
YHL046C	363	164	0	0
YPR176C	978	779	2075	49.3527
YFL016C	1536	1337	3694	51.1912
YLR383W	3345	3146	2943	17.3325
YJL062W	2493	2294	3199	25.8375
YDR140W	666	467	1376	54.5923
YNL252C	846	647	1797	51.4605
YLR048W	759	560	61679.2	2040.71
YGR282C	942	743	37184	927.251
