reporterId	systematicName	geneSymbol	M	A	pvalue
SCAB000954	YDL199C	YDL199C	-0.12293427	7.8200646	0.425407
SCAB000955	YDL200C	MGT1	-0.095775659	9.4273201	0.431464
SCAB000956	YDL201W	TRM8	0.16263543	11.469666	0.105428
SCAB000957	YDL202W	MRPL11	0.04194383	10.694542	0.710341
SCAB000958	YDL203C	ACK1	-0.01845418	9.6639495	0.869315
SCAB000959	YDL204W	RTN2	-0.28682682	8.5805216	0.162685
SCAB000960	YDL205C	HEM3	0.22679211	7.7555381	0.142974
SCAB000961	YDL206W	YDL206W	-0.095271604	8.8161284	0.406337
SCAB000962	YDL207W	GLE1	-0.0026584494	9.6513574	0.988946
SCAB000963	YDL208W	NHP2	0.063930855	13.022354	0.666842
SCAB000964	YDL209C	CWC2	-0.12810747	9.6339945	0.223387
SCAB000965	YDL210W	UGA4	0.059175276	7.9473935	0.63826
SCAB000966	YDL211C	YDL211C	0.078937683	8.2314995	0.5194
SCAB000967	YDL212W	SHR3	-0.050055754	12.295101	0.69882
SCAB000968	YDL213C	NOP6	0.082266582	11.437824	0.550732
SCAB000969	YDL214C	PRR2	-0.011503626	6.9278382	0.944509
SCAB000970	YDL215C	GDH2	-0.019427713	9.9354314	0.908198
SCAB000971	YDL216C	RRI1	-0.072385667	8.6308042	0.632291
SCAB000972	YDL217C	TIM22	0.067363367	11.184875	0.486091
SCAB000973	YDL218W	YDL218W	-0.072690602	6.842451	0.430534
SCAB000974	YDL219W	DTD1	-0.074617276	11.905333	0.529025
SCAB000975	YDL220C	CDC13	-0.074281555	8.0691119	0.544022
SCAB000976	YDL221W	YDL221W	0.048822074	6.7324834	0.692167
SCAB000977	YDL222C	FMP45	-0.36307058	7.1875231	0.00154904
SCAB000978	YDL223C	HBT1	-0.20383753	7.3950317	0.0345318
SCAB000979	YDL224C	WHI4	-0.024201087	10.372148	0.886506
SCAB000980	YDL225W	SHS1	0.13573186	10.749112	0.125694
SCAB000981	YDL226C	GCS1	-0.010071905	10.361508	0.947291
SCAB000982	YDL227C	HO	-0.10763851	11.385573	0.284378
SCAB000983	YDL228C	YDL228C	-0.10856837	7.0468037	0.585147
SCAB000984	YDL229W	SSB1	0.090948252	15.006992	0.746799
SCAB000985	YDL230W	PTP1	-0.11346546	9.4853324	0.231072
SCAB000986	YDL231C	BRE4	0.12379861	10.087911	0.150234
SCAB000987	YDL232W	OST4	-0.052570229	11.879694	0.709218
SCAB000988	YDL233W	YDL233W	-0.013469649	8.7376846	0.916713
SCAB000989	YDL234C	GYP7	-0.04876882	9.3659876	0.749905
SCAB000990	YDL235C	YPD1	-0.083741974	10.99488	0.45006
SCAB000991	YDL236W	PHO13	0.024731009	11.239614	0.854844
SCAB000992	YDL237W	AIM6	0.047342945	11.436493	0.733108
SCAB000993	YDL238C	GUD1	-0.21395071	7.7785673	0.0155287
SCAB000994	YDL239C	ADY3	-0.1240344	7.499077	0.370224
SCAB000995	YDL240C-A	YDL240C-A	0.092653982	6.728036	0.48402
SCAB000996	YDL240W	LRG1	0.065282779	9.3433357	0.849913
SCAB000997	YDL241W	YDL241W	0.27332491	8.8110259	0.0206909
SCAB000998	YDL242W	YDL242W	-0.003109471	6.4102431	0.986705
SCAB000999	YDL243C	AAD4	-0.052432582	9.2187927	0.691662
SCAB001000	YJR156C	THI11	0.073175846	7.862795	0.538871
SCAB001001	YJR158W	HXT16	-0.034197249	7.2006864	0.857208
SCAB001002	YDL246C	SOR2	0.0012401845	8.6799262	0.994893
SCAB001003	YDL247W	MPH2	-0.081543541	6.6696536	0.369332
SCAB001004	YDL247W-A	YDL247W-A	-0.051319919	7.9910032	0.825663
SCAB001005	YDL248W	COS7	-0.037622741	12.435106	0.818595
SCAB001006	YDR001C	NTH1	-0.23849515	9.9447356	0.0663895
SCAB001007	YDR002W	YRB1	0.018235348	13.436701	0.919122
SCAB001008	YDR003W	RCR2	-0.19067776	8.6009567	0.037988
SCAB001009	YDR004W	RAD57	0.017921908	8.9046674	0.929426
SCAB001010	YDR005C	MAF1	-0.045477584	8.6939413	0.685213
SCAB001011	YDR006C	SOK1	0.069963326	10.923128	0.681922
SCAB001012	YDR007W	TRP1	0.050439008	10.800037	0.711192
SCAB001013	YDR008C	YDR008C	-0.11649335	7.3528675	0.402358
SCAB001014	YDR009W	GAL3	0.15999078	7.0431925	0.0555992
SCAB001015	YDR010C	YDR010C	-0.01410179	6.202165	0.947293
SCAB001016	YDR011W	SNQ2	0.017294823	10.788833	0.94433
SCAB001017	YDR012W	RPL4B	0.16856502	14.894647	0.439452
SCAB001018	YDR013W	PSF1	0.029120665	9.717596	0.843445
SCAB001019	YDR014W	RAD61	0.027932529	8.0510155	0.857952
SCAB001021	YDR016C	DAD1	-0.0086880487	10.444519	0.968493
SCAB001022	YDR017C	KCS1	0.076134912	10.800025	0.562097
SCAB001023	YDR018C	YDR018C	0.039405145	7.0278403	0.751944
SCAB001024	YDR019C	GCV1	0.077858235	10.776629	0.727441
SCAB001025	YDR020C	DAS2	0.14817922	8.6804493	0.171446
SCAB001026	YDR021W	FAL1	0.37259556	9.6046517	0.00703344
SCAB001027	YDR022C	CIS1	-0.034761688	8.7947524	0.839292
SCAB001028	YDR023W	SES1	-0.064304914	13.146016	0.629976
SCAB001029	YDR024W	FYV1	-0.068159635	5.9565251	0.536079
SCAB001030	YDR025W	RPS11A	0.28504705	14.833965	0.143769
SCAB001031	YDR026C	YDR026C	0.0824301	8.0237207	0.486091
SCAB001032	YDR027C	VPS54	-0.18160915	10.027445	0.0480003
SCAB001033	YDR028C	REG1	-0.037388792	9.8871498	0.813244
SCAB001034	YDR029W	YDR029W	-0.0049222066	6.0072997	0.981232
SCAB001035	YDR030C	RAD28	0.052401982	7.5525225	0.660207
SCAB001036	YDR031W	MIC14	-0.23620263	9.2026393	0.0433774
SCAB001037	YDR032C	PST2	0.060476323	12.545837	0.706052
SCAB001038	YDR033W	MRH1	-0.096705616	14.499858	0.694018
SCAB001039	YDR034C	LYS14	0.049825902	9.8731694	0.741318
SCAB001040	YDR034C-A	YDR034C-A	-0.16455448	8.0031356	0.148306
SCAB001043	YDR034W-B	YDR034W-B	-0.3838663	7.4656827	0.000139842
SCAB001044	YDR035W	ARO3	0.024206188	12.343773	0.884622
SCAB001045	YDR036C	EHD3	0.18891992	9.9878764	0.114331
SCAB001046	YDR037W	KRS1	0.086919607	13.670658	0.45006
SCAB001047	YDR038C	ENA5	0.066716088	9.9606641	0.568324
SCAB001048	YDR039C	ENA2	-0.058403857	11.87825	0.663963
SCAB001050	YDR041W	RSM10	0.070087017	9.3192427	0.601692
SCAB001051	YDR042C	YDR042C	0.018477506	6.4294354	0.905288
SCAB001052	YDR043C	NRG1	-0.39497226	7.6893388	0.00280994
SCAB001053	YDR044W	HEM13	-0.024421169	9.3259778	0.844082
SCAB001054	YDR045C	RPC11	0.0083291147	11.423357	0.964975
SCAB001055	YDR046C	BAP3	0.064179263	11.212509	0.539883
SCAB001056	YDR047W	HEM12	-0.05256574	10.875154	0.674027
SCAB001057	YDR048C	YDR048C	-0.0063517211	6.180296	0.985849
SCAB001058	YDR049W	YDR049W	0.056097924	10.0694	0.632351
SCAB001059	YDR050C	TPI1	-0.13014754	13.376659	0.279112
SCAB001060	YDR051C	DET1	0.015326286	10.839272	0.878568
SCAB001061	YDR052C	DBF4	0.18279398	9.3008002	0.184596
SCAB001062	YDR053W	YDR053W	-0.0078725872	6.4010047	0.961659
SCAB001063	YDR054C	CDC34	-0.077975742	10.761001	0.661395
SCAB001064	YDR055W	PST1	-0.039206599	11.335802	0.857208
SCAB001065	YDR056C	YDR056C	-0.15214256	11.279329	0.0706507
SCAB001066	YDR057W	YOS9	-0.044603866	9.5076994	0.687431
SCAB001067	YDR058C	TGL2	-0.029673467	6.3819091	0.840073
SCAB001068	YDR059C	UBC5	-0.0023607368	9.3813175	0.988946
SCAB001069	YDR060W	MAK21	0.04016301	11.199877	0.842739
SCAB001070	YDR061W	YDR061W	-0.22492585	9.9928473	0.00771515
SCAB001071	YDR062W	LCB2	-0.040327759	11.708369	0.77646
SCAB001072	YDR063W	AIM7	-0.021171774	10.786731	0.892118
SCAB001073	YDR064W	RPS13	-0.073288521	14.444287	0.724952
SCAB001074	YDR065W	RRG1	0.0021768264	8.6181286	0.988946
SCAB001075	YDR066C	RTR2	0.10557081	8.4672946	0.407131
SCAB001076	YDR067C	OCA6	0.020199923	9.4584733	0.868154
SCAB001077	YDR068W	DOS2	-0.11513017	10.540772	0.28615
SCAB001078	YDR069C	DOA4	-0.12894335	8.9454468	0.232446
SCAB001079	YDR070C	FMP16	-0.72744882	7.5731889	9.22131e-06
SCAB001080	YDR071C	PAA1	0.20434108	12.380557	0.0404731
SCAB001081	YDR072C	IPT1	0.16846233	11.268288	0.126419
SCAB001082	YDR073W	SNF11	0.15818189	10.327096	0.0737192
SCAB001084	YDR075W	PPH3	0.17863179	10.285738	0.0847253
SCAB001085	YDR076W	RAD55	0.2135277	8.861237	0.0508278
SCAB001086	YDR077W	SED1	-0.13474945	14.187445	0.539832
SCAB001087	YDR078C	SHU2	0.12371916	9.018752	0.231745
SCAB001088	YDR079C-A	TFB5	-0.017770469	7.7475418	0.919092
SCAB001089	YDR079W	PET100	0.023113383	5.8503759	0.895449
SCAB001090	YDR080W	VPS41	0.033045869	9.6400478	0.818595
SCAB001091	YDR081C	PDC2	0.044184258	9.7573984	0.709595
SCAB001092	YDR082W	STN1	-0.050672755	9.4325797	0.641556
SCAB001093	YDR083W	RRP8	0.10012994	11.230475	0.50618
SCAB001094	YDR084C	TVP23	-0.19656133	10.430252	0.0700734
SCAB001095	YDR085C	AFR1	0.091192052	5.8546841	0.57995
SCAB001096	YDR086C	SSS1	0.10433666	13.921636	0.349104
SCAB001097	YDR087C	RRP1	0.098742935	11.168665	0.467026
SCAB001098	YDR088C	SLU7	0.09051473	9.5710012	0.525181
SCAB001099	YDR089W	YDR089W	-0.13249252	10.160391	0.347525
SCAB001100	YDR090C	YDR090C	-0.016904608	9.4621569	0.920183
SCAB001101	YDR091C	RLI1	-0.015937152	11.615837	0.943977
SCAB001102	YDR092W	UBC13	-0.062895198	10.316807	0.653161
SCAB001103	YDR093W	DNF2	0.092572802	10.160606	0.464096
SCAB001104	YDR094W	YDR094W	0.1845596	11.199461	0.0537021
SCAB001105	YDR095C	YDR095C	0.085084679	7.8815271	0.596556
SCAB001106	YDR096W	GIS1	-0.22589231	8.8565993	0.0832638
SCAB001107	YDR097C	MSH6	-0.014753157	9.3299039	0.919606
SCAB001108	YDR098C	GRX3	0.0098057803	12.390426	0.952666
SCAB001110	YDR098C-B	YDR098C-B	-0.083135122	15.04698	0.763355
SCAB001111	YDR099W	BMH2	-0.027997064	13.220243	0.901031
SCAB001112	YDR100W	TVP15	-0.062795741	11.807436	0.670532
SCAB001113	YDR101C	ARX1	-0.16042733	5.8675537	0.245732
SCAB001114	YDR102C	YDR102C	-0.029386324	6.6641341	0.839738
SCAB001115	YDR103W	STE5	0.073518641	10.097049	0.454144
SCAB001116	YDR104C	SPO71	-0.042170072	9.1313961	0.749523
SCAB001117	YDR105C	TMS1	-0.037790083	10.470368	0.788958
SCAB001118	YDR106W	ARP10	-0.18601569	7.3923021	0.0470351
SCAB001119	YDR107C	TMN2	-0.14338076	10.110465	0.078771
SCAB001120	YDR108W	GSG1	-0.059532524	8.8923909	0.519534
SCAB001121	YDR109C	YDR109C	0.068450693	9.0064214	0.487985
SCAB001122	YDR110W	FOB1	0.25461823	9.610312	0.00675206
SCAB001123	YDR111C	ALT2	-0.054937718	9.8498252	0.641556
SCAB001124	YDR112W	IRC2	-0.0051495017	6.3514262	0.979308
SCAB001125	YDR113C	PDS1	0.0059460603	9.190763	0.976227
SCAB001126	YDR114C	YDR114C	0.03290486	6.9893374	0.765642
SCAB001127	YDR115W	YDR115W	0.059590631	10.934698	0.675622
SCAB001128	YDR116C	MRPL1	0.013054853	9.5671179	0.91304
SCAB001129	YDR117C	TMA64	-0.093880587	9.6771839	0.360521
SCAB001130	YDR118W	APC4	-0.099628936	8.2724815	0.285859
SCAB001131	YDR119W	VBA4	0.13137876	11.650189	0.224382
SCAB001132	YDR120C	TRM1	-0.058994381	11.45807	0.642396
SCAB001133	YDR121W	DPB4	0.13502258	10.392111	0.212245
SCAB001134	YDR122W	KIN1	-0.12251173	9.7238201	0.400796
SCAB001135	YDR123C	INO2	0.09043343	8.954035	0.628673
SCAB001136	YDR124W	YDR124W	-0.056998392	7.2425278	0.64833
SCAB001137	YDR125C	ECM18	-0.083864292	7.0634732	0.523375
SCAB001138	YDR126W	SWF1	0.11123167	8.366799	0.237311
SCAB001139	YDR127W	ARO1	0.06502077	11.445979	0.618247
SCAB001140	YDR128W	MTC5	-0.027227954	10.578983	0.848596
SCAB001141	YDR129C	SAC6	-0.040034037	12.418294	0.736672
SCAB001142	YDR130C	FIN1	0.054556784	9.3816953	0.697457
SCAB001143	YDR131C	YDR131C	0.011338193	5.8424948	0.938903
SCAB001144	YDR132C	YDR132C	0.18302274	8.2278442	0.0201875
SCAB001145	YDR133C	YDR133C	-0.33061397	12.972427	0.113112
SCAB001147	YDR135C	YCF1	-0.038760454	11.709688	0.770005
SCAB001148	YDR136C	VPS61	0.015240636	7.4830206	0.920183
SCAB001149	YDR137W	RGP1	-0.07474642	9.5828522	0.562452
SCAB001150	YDR138W	HPR1	0.20750558	8.8961569	0.0793836
SCAB001151	YDR139C	RUB1	0.048347802	11.368193	0.69882
SCAB001152	YDR140W	MTQ2	0.060047384	10.096423	0.653851
SCAB001153	YDR141C	DOP1	-0.10872703	9.9473282	0.318206
SCAB001154	YDR142C	PEX7	0.21083769	9.2293435	0.0556308
SCAB001155	YDR143C	SAN1	0.11557931	9.7559921	0.224034
SCAB001156	YDR144C	MKC7	0.012740285	10.787304	0.935714
SCAB001157	YDR145W	TAF12	0.049045207	11.174212	0.72888
